ID,Marca,Las Condes,Manuel Montt,Mall Arauco Maipu,Mall Plaza Alameda,Chillan,Precio ($),Factor de forma,Formato PSU,Tamano de tarjeta,Uso de slots
39270,Gear,0,1,0,0,0,29990,2,3,1,1
36559,InWin,1,0,1,1,0,59990,3,3,1,2
35874,Deepcool,1,0,0,0,0,62990,4,3,2,2
34840,Apexgaming,1,0,0,0,0,69990,4,3,2,2
32323,Gamdias,0,0,0,0,1,75990,2,3,1,1
38199,Gamdias,1,0,0,0,0,77990,4,3,2,2
36047,Gamdias,1,0,0,0,0,79990,3,3,2,2
38200,Gamdias,0,0,0,1,0,79990,3,3,2,2
34316,Gamdias,1,0,0,0,0,99990,3,3,2,2
38201,Gamdias,1,0,0,0,0,109990,3,3,1,2
36554,InWin,3,1,1,1,0,129990,3,3,2,2
36556,InWin,2,1,1,1,0,149990,3,3,2,2
36558,InWin,1,1,1,1,0,149990,3,3,2,2
38557,Redragon,1,0,0,0,0,149990,3,3,2,2
37871,InWin,1,1,0,0,0,199990,3,3,2,2
36555,InWin,0,0,0,0,1,229990,3,3,2,2
36557,InWin,1,0,0,0,0,289990,4,3,2,2
