ID,Marca,Las Condes,Manuel Montt,Mall Arauco Maipu,Mall Plaza Alameda,Chillan,Precio ($),Capacidad (GB),Especificacion
33710,Lexar,0,10,1,0,0,36790,256,256
27161,Kingston,13,0,0,0,0,26290,120,120
30968,Crucial,13,10,0,0,0,26290,120,120
28849,WD,15,30,0,1,0,28390,120,120
30966,Crucial,27,6,0,0,0,33990,240,240
27162,Kingston,50,100,5,7,19,35790,240,240
28851,WD,50,100,17,11,30,35090,240,240
32801,Kingston,0,0,3,0,1,36790,240,240
33710,Lexar,0,10,1,0,0,36790,256,256
34845,Kingston,24,18,0,3,0,48390,250,250
28148,Crucial,14,14,5,5,0,49490,250,250
28852,WD,20,4,2,4,0,48490,250,250
38023,WD,9,7,4,5,1,52590,250,250
36640,Kingston,0,0,2,0,0,57890,480,480
29235,WD,9,0,0,0,0,58790,500,500
32566,Transcend,5,8,5,3,3,61090,256,256
27163,Kingston,50,50,10,5,7,61090,480,480
30967,Crucial,28,30,5,5,8,59790,480,480
34296,WD,13,15,7,6,0,64190,480,480
35948,WD,9,15,6,5,3,63890,250,250
